Date, Open, High, Low, Close, Volume
09/17/21, 86.245, 86.28, 86.18, 86.26, 6217825
09/16/21, 86.35, 86.46, 86.3007, 86.37, 4604134
09/15/21, 86.59, 86.5959, 86.43, 86.53, 6204475
09/14/21, 86.465, 86.68, 86.435, 86.61, 4758567
09/13/21, 86.34, 86.42, 86.33, 86.40, 4047362
09/10/21, 86.335, 86.38, 86.112, 86.27, 3711443
09/09/21, 86.26, 86.51, 86.19, 86.48, 5504618
09/08/21, 86.125, 86.25, 86.09, 86.17, 4864594
09/07/21, 86.08, 86.10, 85.96, 86.03, 4840674
09/03/21, 86.26, 86.30, 86.21, 86.28, 4059693
09/02/21, 86.41, 86.46, 86.335, 86.46, 4885232
09/01/21, 86.41, 86.41, 86.25, 86.34, 4792353
08/31/21, 86.56, 86.61, 86.39, 86.46, 4975026
08/30/21, 86.408, 86.57, 86.39, 86.57, 4119047
08/27/21, 86.24, 86.47, 86.17, 86.47, 4780915
08/26/21, 86.24, 86.25, 86.11, 86.22, 4810940
08/25/21, 86.39, 86.40, 86.14, 86.21, 3904898
08/24/21, 86.45, 86.48, 86.35, 86.35, 5164835
08/23/21, 86.48, 86.53, 86.43, 86.52, 4005565
08/20/21, 86.54, 86.5667, 86.465, 86.50, 3581269
08/19/21, 86.49, 86.52, 86.405, 86.52, 5345715
08/18/21, 86.33, 86.428, 86.24, 86.33, 4561927
08/17/21, 86.37, 86.4691, 86.33, 86.35, 7168355
08/16/21, 86.47, 86.60, 86.41, 86.44, 3918955
08/13/21, 86.125, 86.36, 86.11, 86.36, 4329588
08/12/21, 85.98, 86.045, 85.90, 86.02, 4946510
08/11/21, 85.97, 86.14, 85.86, 86.01, 6494048
08/10/21, 86.12, 86.12, 85.95, 85.95, 4312316
08/09/21, 86.32, 86.37, 86.08, 86.08, 4541333
08/06/21, 86.315, 86.40, 86.22, 86.24, 4329839
08/05/21, 86.77, 86.7898, 86.615, 86.65, 4614138
08/04/21, 87.01, 87.05, 86.64, 86.85, 3916933
08/03/21, 86.84, 86.94, 86.8138, 86.85, 5297706
08/02/21, 86.675, 86.94, 86.63, 86.83, 4660843
07/30/21, 86.70, 86.78, 86.67, 86.76, 7557156
07/29/21, 86.60, 86.685, 86.58, 86.63, 5201018
07/28/21, 86.59, 86.78, 86.50, 86.78, 6636720
07/27/21, 86.68, 86.7199, 86.60, 86.70, 4344089
07/26/21, 86.63, 86.63, 86.45, 86.48, 5427869
07/23/21, 86.414, 86.56, 86.40, 86.53, 8887561
07/22/21, 86.454, 86.6999, 86.449, 86.63, 4894957
07/21/21, 86.49, 86.535, 86.36, 86.44, 6292951
07/20/21, 87.05, 87.075, 86.67, 86.72, 6762170
07/19/21, 86.713, 86.89, 86.681, 86.81, 6493290
07/16/21, 86.20, 86.37, 86.1924, 86.32, 5725147
07/15/21, 86.34, 86.41, 86.18, 86.40, 3422955
07/14/21, 86.08, 86.21, 86.06, 86.19, 5036297
07/13/21, 86.16, 86.23, 85.865, 85.90, 8580650
07/12/21, 86.26, 86.29, 86.123, 86.17, 9073868
07/09/21, 86.265, 86.2672, 86.20, 86.20, 10304890
07/08/21, 86.4353, 86.5674, 86.38, 86.47, 6991379
07/07/21, 86.296, 86.44, 86.23, 86.39, 5933965
07/06/21, 86.00, 86.265, 86.00, 86.21, 5711640
07/02/21, 85.76, 85.90, 85.74, 85.90, 4315654
07/01/21, 85.73, 85.775, 85.63, 85.75, 5768040
06/30/21, 85.895, 85.98, 85.87, 85.89, 4846589
06/29/21, 85.664, 85.83, 85.66, 85.83, 10672830
06/28/21, 85.69, 85.84, 85.67, 85.79, 5664089
06/25/21, 85.74, 85.75, 85.4501, 85.56, 6018664
06/24/21, 85.73, 85.7793, 85.6901, 85.72, 4852141
06/23/21, 85.69, 85.76, 85.63, 85.68, 5739875
06/22/21, 85.52, 85.75, 85.505, 85.74, 4082891
06/21/21, 85.72, 85.7499, 85.60, 85.62, 7907017
06/18/21, 85.72, 85.99, 85.625, 85.92, 5843058
06/17/21, 85.50, 85.865, 85.48, 85.65, 6467468
06/16/21, 85.677, 85.73, 85.255, 85.36, 7302369
06/15/21, 85.56, 85.63, 85.52, 85.60, 6173593
06/14/21, 85.76, 85.76, 85.58, 85.60, 4438378
06/11/21, 85.82, 85.85, 85.74, 85.82, 4194571
06/10/21, 85.54, 85.86, 85.51, 85.84, 7400336
06/09/21, 85.69, 85.74, 85.60, 85.66, 4810313
06/08/21, 85.49, 85.51, 85.44, 85.49, 5099673
06/07/21, 85.33, 85.36, 85.2938, 85.33, 10706510
06/04/21, 85.16, 85.39, 85.14, 85.39, 19321600
06/03/21, 85.125, 85.13, 85.03, 85.05, 4829025
06/02/21, 85.105, 85.23, 85.0863, 85.21, 5479979
06/01/21, 85.07, 85.1399, 84.98, 85.12, 5397960
05/28/21, 85.27, 85.39, 85.25, 85.26, 5258562
05/27/21, 85.32, 85.34, 85.201, 85.27, 5215202
05/26/21, 85.37, 85.46, 85.32, 85.39, 4834428
05/25/21, 85.253, 85.42, 85.24, 85.42, 5235542
05/24/21, 85.152, 85.24, 85.14, 85.20, 6954528
05/21/21, 85.12, 85.15, 85.03, 85.10, 5050778
05/20/21, 84.8906, 85.09, 84.8906, 85.08, 5283852
05/19/21, 84.91, 84.995, 84.70, 84.80, 6511291
05/18/21, 84.91, 84.93, 84.85, 84.89, 4631050
05/17/21, 85.04, 85.04, 84.95, 84.98, 4752983
05/14/21, 84.98, 85.06, 84.9223, 85.06, 6262136
05/13/21, 84.68, 84.90, 84.68, 84.86, 6991015
05/12/21, 84.85, 84.85, 84.66, 84.69, 7011813
05/11/21, 85.018, 85.04, 84.94, 84.99, 6631118
05/10/21, 85.37, 85.39, 85.1405, 85.16, 6211841
05/07/21, 85.48, 85.60, 85.30, 85.36, 4886284
05/06/21, 85.254, 85.40, 85.235, 85.35, 4143614
05/05/21, 85.21, 85.3399, 85.17, 85.31, 5950251
05/04/21, 85.24, 85.39, 85.21, 85.26, 5520330
05/03/21, 85.12, 85.31, 85.11, 85.15, 4601215
04/30/21, 85.22, 85.26, 85.11, 85.26, 6867592
04/29/21, 85.064, 85.14, 84.95, 85.14, 6247624
04/28/21, 85.195, 85.23, 85.025, 85.21, 5479226
04/27/21, 85.37, 85.37, 85.15, 85.17, 4450275
04/26/21, 85.46, 85.485, 85.37, 85.39, 3797411
04/23/21, 85.48, 85.50, 85.35, 85.45, 6435805
04/22/21, 85.41, 85.46, 85.29, 85.44, 4007782
04/21/21, 85.28, 85.40, 85.24, 85.40, 4508316
04/20/21, 85.15, 85.36, 85.135, 85.31, 6384048
04/19/21, 85.11, 85.19, 85.06, 85.165, 6165334
04/16/21, 85.22, 85.31, 85.0557, 85.22, 6199800
04/15/21, 85.33, 85.56, 85.27, 85.45, 5394953
04/14/21, 85.06, 85.13, 85.01, 85.09, 4592325
04/13/21, 84.89, 85.15, 84.885, 85.15, 4097593
04/12/21, 84.93, 84.93, 84.85, 84.93, 3995717
04/09/21, 84.97, 85.07, 84.85, 84.95, 9748531
04/08/21, 84.97, 85.07, 84.95, 85.06, 3872352
04/07/21, 84.903, 85.02, 84.85, 84.87, 5480189
04/06/21, 84.78, 84.99, 84.76, 84.97, 5400742
04/05/21, 84.62, 84.71, 84.55, 84.67, 8200614
04/01/21, 84.7777, 84.84, 84.67, 84.80, 4780150
03/31/21, 84.76, 84.85, 84.63, 84.72, 6949299
03/30/21, 84.57, 84.77, 84.505, 84.76, 4769243
03/29/21, 84.802, 84.828, 84.58, 84.67, 3775535
03/26/21, 84.76, 84.92, 84.73, 84.78, 3376220
03/25/21, 85.03, 85.06, 84.83, 84.93, 3876320
03/24/21, 84.7637, 85.00, 84.7374, 84.99, 5148226
03/23/21, 84.8731, 84.88, 84.6827, 84.86, 5148694
03/22/21, 84.63, 84.71, 84.545, 84.67, 4748357
03/19/21, 84.80, 84.87, 84.30, 84.43, 4969218
03/18/21, 84.30, 84.47, 84.22, 84.36, 4905311
03/17/21, 84.60, 84.80, 84.44, 84.71, 7370564
03/16/21, 84.80, 84.85, 84.66, 84.74, 6159075
03/15/21, 84.66, 84.80, 84.66, 84.75, 5012257
03/12/21, 84.74, 84.75, 84.575, 84.65, 5717095
03/11/21, 85.14, 85.225, 85.04, 85.16, 5510016
03/10/21, 85.07, 85.208, 85.035, 85.15, 5286859
03/09/21, 84.93, 85.065, 84.93, 84.99, 7672033
03/08/21, 84.96, 85.00, 84.71, 84.71, 5806734
03/05/21, 85.00, 85.125, 84.92, 85.10, 6871086
03/04/21, 85.45, 85.48, 85.05, 85.15, 9701831
03/03/21, 85.4652, 85.515, 85.3311, 85.42, 6022484
03/02/21, 85.65, 85.71, 85.595, 85.69, 5338789
03/01/21, 85.61, 85.75, 85.53, 85.70, 7155468
02/26/21, 85.57, 85.94, 85.295, 85.94, 8580539
02/25/21, 85.60, 85.655, 84.92, 85.20, 9956437
02/24/21, 85.676, 85.99, 85.62, 85.95, 5164583
02/23/21, 85.8696, 86.048, 85.8224, 86.00, 6476002
02/22/21, 86.188, 86.285, 86.00, 86.02, 4809883
02/19/21, 86.43, 86.445, 86.20, 86.26, 4011073
02/18/21, 86.4757, 86.5993, 86.42, 86.56, 4607196
02/17/21, 86.578, 86.615, 86.49, 86.61, 5216999
02/16/21, 86.565, 86.59, 86.41, 86.43, 6702261
02/12/21, 86.93, 86.965, 86.8128, 86.84, 4825493
02/11/21, 87.16, 87.19, 87.0224, 87.07, 4578403
02/10/21, 87.12, 87.16, 87.07, 87.16, 3735655
02/09/21, 87.06, 87.14, 87.01, 87.02, 4474192
02/08/21, 86.97, 87.12, 86.94, 87.06, 5571452
02/05/21, 87.08, 87.1294, 86.95, 86.96, 4401374
02/04/21, 87.05, 87.11, 86.94, 87.08, 4652251
02/03/21, 87.153, 87.17, 87.06, 87.06, 4271707
02/02/21, 87.21, 87.24, 87.17, 87.21, 4554746
02/01/21, 87.2442, 87.37, 87.23, 87.32, 5774701
01/29/21, 87.29, 87.48, 87.29, 87.43, 6088409
01/28/21, 87.56, 87.565, 87.41, 87.50, 4359294
01/27/21, 87.63, 87.70, 87.555, 87.57, 4248658
01/26/21, 87.54, 87.62, 87.50, 87.57, 4608758
01/25/21, 87.49, 87.5899, 87.45, 87.58, 5126885
01/22/21, 87.41, 87.42, 87.3101, 87.38, 4440018
01/21/21, 87.327, 87.40, 87.27, 87.34, 7890792
01/20/21, 87.418, 87.50, 87.40, 87.46, 5889570
01/19/21, 87.373, 87.48, 87.30, 87.47, 7636580
01/15/21, 87.34, 87.43, 87.28, 87.35, 4083599
01/14/21, 87.40, 87.50, 87.21, 87.28, 7192030
01/13/21, 87.27, 87.505, 87.2238, 87.39, 7357080
01/12/21, 87.09, 87.16, 86.94, 87.16, 6078880
