Date, Open, High, Low, Close, Volume
09/16/21, 52.43, 52.48, 52.39, 52.44, 187061
09/15/21, 52.81, 52.81, 52.65, 52.76, 86663
09/14/21, 52.84, 52.84, 52.715, 52.77, 136896
09/13/21, 52.65, 52.7599, 52.62, 52.71, 204920
09/10/21, 52.80, 52.82, 52.6201, 52.69, 94309
09/09/21, 52.74, 52.92, 52.702, 52.88, 80513
09/08/21, 52.61, 52.64, 52.51, 52.63, 83428
09/07/21, 52.74, 52.74, 52.59, 52.63, 75654
09/03/21, 53.04, 53.08, 52.93, 53.00, 99452
09/02/21, 52.97, 53.06, 52.88, 53.05, 2481504
09/01/21, 52.77, 52.89, 52.77, 52.87, 257888
08/31/21, 52.90, 52.929, 52.70, 52.74, 170676
08/30/21, 52.83, 52.97, 52.81, 52.97, 55351
08/27/21, 52.55, 52.8845, 52.50, 52.88, 70709
08/26/21, 52.62, 52.62, 52.535, 52.59, 94183
08/25/21, 52.71, 52.74, 52.63, 52.74, 68717
08/24/21, 52.8976, 52.92, 52.8291, 52.90, 184326
08/23/21, 52.74, 52.8799, 52.70, 52.84, 50689
08/20/21, 52.60, 52.68, 52.505, 52.68, 57040
08/19/21, 52.65, 52.69, 52.5435, 52.60, 71590
08/18/21, 52.77, 52.8199, 52.6305, 52.77, 59309
08/17/21, 52.86, 52.8729, 52.7101, 52.77, 48381
08/16/21, 53.04, 53.11, 52.925, 53.02, 41612
08/13/21, 52.90, 53.13, 52.812, 53.13, 49081
08/12/21, 52.75, 52.79, 52.67, 52.76, 277776
08/11/21, 52.81, 52.8804, 52.7337, 52.87, 43890
08/10/21, 52.80, 52.84, 52.71, 52.77, 119080
08/09/21, 52.88, 52.99, 52.76, 52.82, 91366
08/06/21, 53.00, 53.04, 52.82, 52.89, 67692
08/05/21, 53.40, 53.40, 53.30, 53.35, 64856
08/04/21, 53.60, 53.6173, 53.25, 53.36, 53058
08/03/21, 53.44, 53.45, 53.34, 53.44, 66612
08/02/21, 53.29, 53.40, 53.29, 53.35, 97786
07/30/21, 53.20, 53.247, 53.14, 53.21, 50699
07/29/21, 53.22, 53.3194, 53.111, 53.29, 135599
07/28/21, 52.82, 53.11, 52.78, 53.10, 57290
07/27/21, 52.93, 53.04, 52.85, 52.99, 64056
07/26/21, 52.73, 52.89, 52.73, 52.84, 77796
07/23/21, 52.58, 52.745, 52.53, 52.63, 368726
07/22/21, 52.76, 52.83, 52.65, 52.72, 101907
07/21/21, 52.46, 52.68, 52.46, 52.62, 35151
07/20/21, 52.62, 52.64, 52.47, 52.60, 45071
07/19/21, 52.72, 52.7701, 52.595, 52.64, 55802
07/16/21, 52.53, 52.629, 52.53, 52.56, 43308
07/15/21, 52.64, 52.65, 52.56, 52.61, 136121
07/14/21, 52.56, 52.66, 52.49, 52.62, 88651
07/13/21, 52.49, 52.55, 52.25, 52.25, 153248
07/12/21, 52.71, 52.71, 52.58, 52.60, 92586
07/09/21, 52.67, 52.76, 52.54, 52.64, 97386
07/08/21, 52.67, 52.755, 52.571, 52.62, 61988
07/07/21, 52.45, 52.52, 52.371, 52.41, 121457
07/06/21, 52.38, 52.498, 52.33, 52.40, 110747
07/02/21, 52.35, 52.50, 52.19, 52.44, 95119
07/01/21, 52.29, 52.358, 52.15, 52.17, 181604
06/30/21, 52.40, 52.41, 52.2201, 52.25, 92294
06/29/21, 52.39, 52.3999, 52.25, 52.32, 161378
06/28/21, 52.46, 52.59, 52.382, 52.42, 123498
06/25/21, 52.67, 52.67, 52.386, 52.46, 69614
06/24/21, 52.55, 52.64, 52.4563, 52.60, 266221
06/23/21, 52.59, 52.6373, 52.34, 52.34, 181385
06/22/21, 52.57, 52.57, 52.33, 52.53, 90937
06/21/21, 52.51, 52.51, 52.35, 52.45, 134007
06/18/21, 52.29, 52.43, 52.23, 52.30, 63283
06/17/21, 52.56, 52.639, 52.37, 52.37, 231358
06/16/21, 53.26, 53.37, 52.77, 52.77, 80404
06/15/21, 53.36, 53.37, 53.2635, 53.28, 120288
06/14/21, 53.47, 53.49, 53.33, 53.41, 49755
06/11/21, 53.60, 53.60, 53.3743, 53.455, 125606
06/10/21, 53.51, 53.71, 53.40, 53.64, 117510
06/09/21, 53.59, 53.735, 53.4691, 53.52, 93568
06/08/21, 53.51, 53.5399, 53.45, 53.45, 61342
06/07/21, 53.37, 53.468, 53.37, 53.44, 94462
06/04/21, 53.30, 53.45, 53.30, 53.41, 180819
06/03/21, 53.30, 53.30, 53.08, 53.14, 67295
06/02/21, 53.40, 53.50, 53.34, 53.43, 87056
06/01/21, 53.52, 53.5999, 53.4749, 53.54, 88681
05/28/21, 53.17, 53.415, 53.17, 53.38, 79211
05/27/21, 53.36, 53.42, 53.29, 53.42, 91277
05/26/21, 53.52, 53.644, 53.4306, 53.48, 92394
05/25/21, 53.52, 53.6224, 53.46, 53.60, 82496
05/24/21, 53.22, 53.4189, 53.22, 53.32, 71569
05/21/21, 53.33, 53.40, 53.13, 53.21, 86852
05/20/21, 53.09, 53.27, 53.08, 53.20, 71869
05/19/21, 53.24, 53.26, 52.92, 52.98, 154319
05/18/21, 53.27, 53.34, 53.1705, 53.25, 394215
05/17/21, 53.07, 53.08, 52.901, 53.00, 109247
05/14/21, 52.99, 53.0899, 52.92, 53.02, 122191
05/13/21, 52.70, 52.75, 52.60, 52.71, 71577
05/12/21, 52.90, 52.99, 52.646, 52.69, 85631
05/11/21, 53.24, 53.29, 53.15, 53.18, 106525
05/10/21, 53.39, 53.49, 53.29, 53.32, 331816
05/07/21, 53.16, 53.41, 53.14, 53.35, 87310
05/06/21, 52.87, 53.045, 52.87, 53.01, 59059
05/05/21, 52.79, 52.89, 52.7166, 52.81, 74726
05/04/21, 52.90, 52.94, 52.8035, 52.84, 94730
05/03/21, 52.96, 53.10, 52.77, 53.02, 84977
04/30/21, 53.06, 53.09, 52.78, 52.82, 79851
04/29/21, 53.20, 53.2099, 53.0213, 53.20, 68233
04/28/21, 53.08, 53.41, 53.04, 53.41, 122008
04/27/21, 53.26, 53.47, 53.181, 53.20, 135956
04/26/21, 53.365, 53.4099, 53.26, 53.31, 188985
04/23/21, 53.36, 53.43, 53.1875, 53.39, 53628
04/22/21, 53.18, 53.20, 53.0301, 53.18, 45918
04/21/21, 53.20, 53.23, 53.03, 53.23, 79705
04/20/21, 53.17, 53.20, 53.0501, 53.16, 60644
04/19/21, 53.12, 53.16, 52.95, 53.09, 79735
04/16/21, 52.95, 52.99, 52.891, 52.94, 129606
04/15/21, 52.93, 53.0899, 52.93, 53.03, 88695
04/14/21, 52.84, 52.93, 52.76, 52.83, 162262
04/13/21, 52.661, 52.82, 52.57, 52.82, 332462
04/12/21, 52.64, 52.80, 52.43, 52.45, 572436
04/09/21, 52.54, 52.67, 52.4611, 52.64, 120089
04/08/21, 52.70, 52.8599, 52.6978, 52.84, 71176
04/07/21, 52.40, 52.7099, 52.40, 52.50, 342829
04/06/21, 52.40, 52.58, 52.38, 52.58, 159087
04/05/21, 52.24, 52.33, 52.12, 52.28, 171776
04/01/21, 52.09, 52.2265, 52.05, 52.20, 475316
