Date, Open, High, Low, Close, Volume
09/17/21, 105.85, 105.98, 104.92, 105.10, 2404531
09/16/21, 106.03, 106.35, 105.55, 106.15, 1328241
09/15/21, 105.78, 106.48, 105.56, 106.39, 1187486
09/14/21, 106.68, 106.68, 105.58, 105.75, 1213953
09/13/21, 106.75, 106.75, 105.92, 106.38, 2947946
09/10/21, 107.12, 107.215, 105.94, 106.00, 4446430
09/09/21, 106.72, 107.15, 106.44, 106.54, 2416046
09/08/21, 107.07, 107.145, 106.42, 106.82, 1694621
09/07/21, 107.62, 107.645, 107.2893, 107.36, 1865894
09/03/21, 107.38, 107.74, 107.31, 107.65, 1002556
09/02/21, 107.39, 107.6151, 107.22, 107.46, 1171906
09/01/21, 107.07, 107.385, 106.965, 107.13, 2074405
08/31/21, 106.72, 106.78, 106.51, 106.61, 973761
08/30/21, 106.42, 106.72, 106.25, 106.56, 1968173
08/27/21, 105.45, 106.37, 105.415, 106.31, 1229541
08/26/21, 105.61, 105.71, 105.11, 105.19, 1956080
08/25/21, 105.65, 105.97, 105.5297, 105.89, 1210197
08/24/21, 105.43, 105.81, 105.38, 105.70, 849616
08/23/21, 104.57, 105.24, 104.57, 105.13, 817872
08/20/21, 103.22, 104.07, 103.12, 104.04, 983632
08/19/21, 102.92, 103.70, 102.8298, 103.41, 1493192
08/18/21, 104.60, 104.94, 103.88, 103.95, 1076663
08/17/21, 104.75, 104.88, 103.99, 104.65, 1048946
08/16/21, 105.32, 105.64, 104.88, 105.64, 938081
08/13/21, 105.75, 105.88, 105.57, 105.88, 1705985
08/12/21, 105.46, 105.64, 105.18, 105.64, 872478
08/11/21, 105.64, 105.64, 105.25, 105.64, 918158
08/10/21, 105.25, 105.39, 105.09, 105.22, 4168878
08/09/21, 105.21, 105.31, 104.93, 105.14, 819132
08/06/21, 105.27, 105.40, 105.025, 105.19, 1431503
08/05/21, 105.04, 105.33, 104.95, 105.28, 2093838
08/04/21, 104.98, 105.125, 104.68, 104.76, 1415126
08/03/21, 104.61, 105.10, 104.05, 105.10, 1381922
08/02/21, 104.85, 104.985, 104.24, 104.33, 1941403
07/30/21, 104.21, 104.70, 104.02, 104.25, 1685064
07/29/21, 104.80, 105.10, 104.751, 104.84, 1013182
07/28/21, 104.00, 104.59, 103.785, 104.33, 945814
07/27/21, 103.95, 103.95, 103.0115, 103.78, 7796308
07/26/21, 104.16, 104.46, 104.13, 104.46, 1308803
07/23/21, 104.28, 104.63, 103.985, 104.58, 1372941
07/22/21, 104.00, 104.00, 103.51, 103.90, 1329543
07/21/21, 103.03, 103.795, 102.97, 103.79, 2103326
